source,published_at,keyword,title,text,url,author,views,likes,comments,cleaned_text
TVmaze,2007-09-27,The Office,Fun Run (2),Michael accidentally runs over Meredith in the parking lot which results in Michael arranging a 5K fun run for her,https://www.tvmaze.com/episodes/47694/the-office-4x02-fun-run-2,The Office,,,,
TVmaze,2007-10-04,The Office,Dunder Mifflin Infinity (1),Michael is resistant to the new ideas the Ryan brings to the company; Jim and Pam's relationship is exposed to the entire office.,https://www.tvmaze.com/episodes/47695/the-office-4x03-dunder-mifflin-infinity-1,The Office,,,,
TVmaze,2007-10-04,The Office,Dunder Mifflin Infinity (2),Michael sets out to win clients back the old fashion way.,https://www.tvmaze.com/episodes/47696/the-office-4x04-dunder-mifflin-infinity-2,The Office,,,,
TVmaze,2007-10-11,The Office,Launch Party (1),The Dunder Mifflin website launches; Dwight gets into a paper selling war with the new website.,https://www.tvmaze.com/episodes/47697/the-office-4x05-launch-party-1,The Office,,,,
TVmaze,2007-10-11,The Office,Launch Party (2),Michael is upset when he realizes he wasn't invited to attend the actual launch party in New York; Andy pursues Angela.,https://www.tvmaze.com/episodes/47698/the-office-4x06-launch-party-2,The Office,,,,
TVmaze,2007-10-18,The Office,Money (1),Michael takes a second job as supporting Jan is draining his finances; Jim and Pam stay at Dwight's farm.,https://www.tvmaze.com/episodes/47699/the-office-4x07-money-1,The Office,,,,
TVmaze,2007-10-18,The Office,Money (2),Oscar helps Michael with his finances; Andy continues to pursue Angela.,https://www.tvmaze.com/episodes/47700/the-office-4x08-money-2,The Office,,,,
TVmaze,2007-10-25,The Office,Local Ad,Michael believes he can make a better TV ad than the professionals Dunder Mifflin sent.,https://www.tvmaze.com/episodes/47701/the-office-4x09-local-ad,The Office,,,,
TVmaze,2007-11-01,The Office,Branch Wars,Michael and Dwight set out to pull a prank on Utica when they find out that Karen is trying to steal Stanley.,https://www.tvmaze.com/episodes/47702/the-office-4x10-branch-wars,The Office,,,,
TVmaze,2007-11-08,The Office,Survivor Man,Michael sets out to survivor in the wilderness after Ryan doesn't invite him on a retreat; Jim is put in charge of the office while Michael is going and he attempts to change the birthday party policy. ,https://www.tvmaze.com/episodes/47703/the-office-4x11-survivor-man,The Office,,,,
TVmaze,2007-11-15,The Office,The Deposition,Michael tries to play both sides when he has to give a deposition for Jan's lawsuit against Dunder Mifflin.,https://www.tvmaze.com/episodes/47704/the-office-4x12-the-deposition,The Office,,,,
TVmaze,2008-04-10,The Office,Dinner Party,"Michael traps Pam and Jim, Angela and Andy into a dinner party with him and Jan.",https://www.tvmaze.com/episodes/47705/the-office-4x13-dinner-party,The Office,,,,
TVmaze,2008-04-17,The Office,Chair Model,Michael becomes obsessed with a model in a chair catalog; Kevin and Andy set out to reclaim the office's parking spaces.,https://www.tvmaze.com/episodes/47706/the-office-4x14-chair-model,The Office,,,,
TVmaze,2008-04-24,The Office,Night Out,Michael and Dwight head to New York to party with Ryan; Jim gets the office to work late to avoid coming in on Saturday and they get locked in the parking lot.,https://www.tvmaze.com/episodes/47707/the-office-4x15-night-out,The Office,,,,
TVmaze,2008-05-01,The Office,Did I Stutter?,Michael has to deal with Stanley's open insubordination at a meeting.,https://www.tvmaze.com/episodes/47708/the-office-4x16-did-i-stutter,The Office,,,,
TVmaze,2008-05-08,The Office,Job Fair,"Michael, Pam, Darryl and Oscar attend a job fair; Jim, Kevin and Andy play a round of golf with a perspective client.",https://www.tvmaze.com/episodes/47709/the-office-4x17-job-fair,The Office,,,,
TVmaze,2008-05-15,The Office,"Goodbye, Toby (1)",Michael becomes infatuated with the woman replacing Toby; Jim plan to propose to Pam is upstaged by Andy; Michael gets a surprise from Jan.,https://www.tvmaze.com/episodes/47710/the-office-4x18-goodbye-toby-1,The Office,,,,
TVmaze,2008-05-15,The Office,"Goodbye, Toby (2)",Michael becomes infatuated with the woman replacing Toby; Jim plan to propose to Pam is upstaged by Andy; Michael gets a surprise from Jan.,https://www.tvmaze.com/episodes/47711/the-office-4x19-goodbye-toby-2,The Office,,,,
TVmaze,2008-09-25,The Office,Weight Loss (1),The office staff goes to extremes when they participate in a weight loss contest run by corporate.,https://www.tvmaze.com/episodes/47712/the-office-5x01-weight-loss-1,The Office,,,,
TVmaze,2008-09-25,The Office,Weight Loss (2),The office staff goes to extremes when they participate in a weight loss contest run by corporate.,https://www.tvmaze.com/episodes/47713/the-office-5x02-weight-loss-2,The Office,,,,
TVmaze,2008-10-09,The Office,Business Ethics,Holly has to run an ethics meeting which leads to Meredith revealing an unethical situation. ,https://www.tvmaze.com/episodes/47714/the-office-5x03-business-ethics,The Office,,,,
TVmaze,2008-10-16,The Office,Baby Shower,Michael insists the office throw Jan a baby shower even though he is not the father of her baby.,https://www.tvmaze.com/episodes/47715/the-office-5x04-baby-shower,The Office,,,,
TVmaze,2008-10-23,The Office,Crime Aid,Michael arranges for a fundraiser when the office is burglarized. ,https://www.tvmaze.com/episodes/47716/the-office-5x05-crime-aid,The Office,,,,
TVmaze,2008-10-30,The Office,Employee Transfer,"After corporate finds out about Michael and Holly's relationship, they transfer Holly back to New Hampshire.",https://www.tvmaze.com/episodes/47717/the-office-5x06-employee-transfer,The Office,,,,
TVmaze,2008-11-06,The Office,Customer Survey,Jim and Dwight are surprised by their low customer survey scores.,https://www.tvmaze.com/episodes/47718/the-office-5x07-customer-survey,The Office,,,,
TVmaze,2008-11-13,The Office,Business Trip,Andy and Oscar accompany Michael on a business trip to Canada; Pam gets bad news about her art class.,https://www.tvmaze.com/episodes/47719/the-office-5x08-business-trip,The Office,,,,
TVmaze,2008-11-20,The Office,Frame Toby,Michael attempts to frame Toby when he returns to the office; Jim surprises Pam by purchasing his parents house.,https://www.tvmaze.com/episodes/47720/the-office-5x09-frame-toby,The Office,,,,
TVmaze,2008-12-04,The Office,The Surplus,The office argues over what to buy with a surplus; Dwight tricks Angela.,https://www.tvmaze.com/episodes/47721/the-office-5x10-the-surplus,The Office,,,,
TVmaze,2008-12-11,The Office,Moroccan Christmas,Michael turns the Office Christmas Party into an intervention for Meredith; Dwight makes money off of a popular children's toy.,https://www.tvmaze.com/episodes/47722/the-office-5x11-moroccan-christmas,The Office,,,,
TVmaze,2009-01-15,The Office,The Duel,Andy finally finds out about Dwight and Angela; Michael is called to corporate to discuss the branch's success.,https://www.tvmaze.com/episodes/47723/the-office-5x12-the-duel,The Office,,,,
TVmaze,2009-01-22,The Office,Prince Family Paper,Michael does research on a local family run company the Dunder Mifflin wants to buy out; The office debates the hotness of Hilary Swank.,https://www.tvmaze.com/episodes/47724/the-office-5x13-prince-family-paper,The Office,,,,
TVmaze,2009-02-01,The Office,Stress Relief (1),Dwight takes things to far during his fire drill.,https://www.tvmaze.com/episodes/47725/the-office-5x14-stress-relief-1,The Office,,,,
TVmaze,2009-02-01,The Office,Stress Relief (2),Michael realizes he is what is causing people to stress out in the office so he arranges a roast.,https://www.tvmaze.com/episodes/47726/the-office-5x15-stress-relief-2,The Office,,,,
TVmaze,2009-02-05,The Office,Lecture Circuit (1),Pam accompanies Michael on a lecture circuit at other branches where they discover Karen is pregnant; Andy becomes infatuated with Stanley's client.,https://www.tvmaze.com/episodes/47727/the-office-5x16-lecture-circuit-1,The Office,,,,
TVmaze,2009-02-12,The Office,Lecture Circuit (2),Michael and Pam head to Nashua so Michael can find closure with Holly.,https://www.tvmaze.com/episodes/47728/the-office-5x17-lecture-circuit-2,The Office,,,,
TVmaze,2009-03-05,The Office,Blood Drive,"After a missed opportunity at a blood drive, Michael throws a Lonely Hearts Valentine's Day party; Jim and Pam go a double date with Bob and Phyllis.",https://www.tvmaze.com/episodes/47729/the-office-5x18-blood-drive,The Office,,,,
TVmaze,2009-03-12,The Office,Golden Ticket,Michael's idea to hide golden tickets in shipments backfires and Michael asks Dwight to take the heat.,https://www.tvmaze.com/episodes/47730/the-office-5x19-golden-ticket,The Office,,,,
TVmaze,2009-03-19,The Office,New Boss,The new supervisor clashes with Michael.,https://www.tvmaze.com/episodes/47731/the-office-5x20-new-boss,The Office,,,,
TVmaze,2009-03-26,The Office,Two Weeks,Michael decides to start his own paper company after giving his two week's notice.,https://www.tvmaze.com/episodes/47732/the-office-5x21-two-weeks,The Office,,,,
